Altium Designer Pick and Place Locations
C:\Users\Vlad\Documents\GitHub\CalibratorPCB\Mainboard\Project Outputs for Free Documents\Folder Structure\Pick Place for CalibratorPCB_v1.csv

========================================================================================================================
File Design Information:

Date:       22.04.22
Time:       21:16
Revision:   22d0a52122398674514f56a372992699dca78ee1
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"DD5","13.2512","49.6828","TopLayer","180"
"R58","89.1043","28.5746","TopLayer","180"
"R57","61.8226","81.7750","TopLayer","270"
"R54","89.6375","2.2740","TopLayer","0"
"R53","72.7450","2.2740","TopLayer","180"
"D11","91.8599","28.5750","TopLayer","180"
"D10","61.8226","84.7250","TopLayer","270"
"D8","86.7737","2.2971","TopLayer","0"
"D7","69.6398","2.2740","TopLayer","0"
"C78","86.2818","5.3721","TopLayer","180"
"R23","47.1789","83.4561","TopLayer","0"
"R22","52.3039","83.4561","TopLayer","0"
"SW1","49.7539","79.6811","TopLayer","180"
"X10","17.8370","17.3300","TopLayer","0"
"X9","24.9421","56.8500","TopLayer","0"
"X8","53.4510","17.3185","TopLayer","270"
"R52","44.9751","7.6262","TopLayer","90"
"R51","46.8000","8.1250","TopLayer","180"
"R50","46.2451","20.3762","TopLayer","270"
"R49","47.5151","20.3762","TopLayer","270"
"DA7","45.6101","14.0012","TopLayer","270"
"C8","26.2000","22.6750","TopLayer","0"
"C1","61.8013","22.6757","TopLayer","0"
"C74","49.7493","10.6760","TopLayer","90"
"R11","84.4116","41.5423","TopLayer","0"
"R5","67.0844","29.2881","TopLayer","270"
"R4","65.5680","29.2881","TopLayer","90"
"R3","53.2593","26.6698","TopLayer","270"
"R1","69.0898","26.4196","TopLayer","0"
"R2","69.0898","25.1697","TopLayer","0"
"DD1","84.4111","35.8527","TopLayer","270"
"DA1","59.7013","25.7948","TopLayer","90"
"C26","85.7366","30.6059","TopLayer","270"
"C25","83.0766","30.6059","TopLayer","270"
"C24","80.4789","30.6059","TopLayer","270"
"C23","79.1154","35.6027","TopLayer","180"
"C2","63.3430","29.2131","TopLayer","270"
"DA4","32.1138","8.5827","TopLayer","180"
"DA3","75.0289","34.3780","TopLayer","90"
