Altium Designer Pick and Place Locations
C:\Users\Vlad\Documents\GitHub\CalibratorPCB\Mainboard\Project Outputs for Mainboard\Folder Structure\Pick Place for CalibratorPCB_v2.csv

========================================================================================================================
File Design Information:

Date:       17.06.22
Time:       11:32
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"OTH3","90.0000","50.0000","TopLayer","0"
"OTH2","10.0000","3.5000","TopLayer","0"
"OTH1","10.0000","96.5000","TopLayer","0"
"DA8","35.0256","50.4050","TopLayer","0"
"C70","38.0299","48.9433","TopLayer","90"
"C69","31.0727","50.8565","TopLayer","90"
"R53","7.4950","34.4000","TopLayer","180"
"R24","12.1368","27.9384","TopLayer","270"
"R60","30.5500","56.0750","TopLayer","180"
"D12","33.2250","56.0750","TopLayer","180"
"DA7","59.7825","84.3960","TopLayer","180"
"C68","56.3442","77.3963","TopLayer","180"
"C67","57.4825","92.7005","TopLayer","90"
"X1","38.0300","97.8750","TopLayer","180"
"R59","43.4716","47.7833","TopLayer","270"
"R58","43.4716","49.9801","TopLayer","90"
"R55","55.6185","47.1213","TopLayer","0"
"R54","53.4153","47.1213","TopLayer","180"
"X11","14.0943","42.1588","TopLayer","0"
"C9","5.0875","47.8746","TopLayer","270"
"X6","23.8370","5.6750","TopLayer","0"
"X5","5.6900","57.5550","TopLayer","270"
"X4","59.4510","5.6750","TopLayer","0"
"G1","7.6250","41.8500","TopLayer","90"
"DD2","20.6581","44.5588","TopLayer","180"
"R33","89.1043","28.5746","TopLayer","180"
"R32","73.7726","81.0000","TopLayer","270"
"R29","89.6375","2.2740","TopLayer","0"
"R28","72.7450","2.2740","TopLayer","180"
"D9","91.8599","28.5750","TopLayer","180"
"D8","73.7726","83.9500","TopLayer","270"
"D6","86.7737","2.2971","TopLayer","0"
"D5","69.6398","2.2740","TopLayer","0"
"C34","86.2818","5.3721","TopLayer","180"
"R8","46.9823","92.6455","TopLayer","0"
"R7","52.1679","92.6455","TopLayer","0"
"SW1","49.5776","96.7962","TopLayer","180"
"R52","44.9751","7.6262","TopLayer","90"
"R51","46.8000","8.1250","TopLayer","180"
"R50","46.2451","20.3762","TopLayer","270"
"R49","47.5151","20.3762","TopLayer","270"
"DA6","45.6101","14.0012","TopLayer","270"
"A14.C55","26.2000","22.6750","TopLayer","0"
"A13.C55","61.8013","22.6757","TopLayer","0"
"C66","49.7493","10.6760","TopLayer","90"
"A10.R48","84.4116","41.5423","TopLayer","0"
"A13.R45","53.2593","26.6698","TopLayer","270"
"A13.R43","69.0898","26.4196","TopLayer","0"
"A13.R44","69.0898","25.1697","TopLayer","0"
"A10.DD7","84.4111","35.8527","TopLayer","270"
"A13.DA5","59.7013","25.7948","TopLayer","90"
"A10.C65","85.7366","30.6059","TopLayer","270"
"A10.C64","83.0766","30.6059","TopLayer","270"
"A10.C63","80.4789","30.6059","TopLayer","270"
"A10.C62","79.1154","35.6027","TopLayer","180"
"A13.C56","63.3430","29.2131","TopLayer","270"
"A7.DA4","34.2559","8.5827","TopLayer","180"
"A6.DA4","75.0289","34.3780","TopLayer","90"
"A13.C61","58.2013","29.2448","TopLayer","90"
"A13.C60","61.2013","29.2287","TopLayer","90"
"A13.C59","56.2843","26.7069","TopLayer","180"
"A13.C58","56.2843","24.8757","TopLayer","180"
"A13.C57","63.1250","24.9000","TopLayer","0"
"A7.C41","39.8283","8.3080","TopLayer","180"
"A6.C41","75.4054","30.1805","TopLayer","180"
"A7.C40","39.8283","7.4062","TopLayer","180"
"A6.C40","73.3521","30.1805","TopLayer","0"
"L4","63.0520","65.6880","TopLayer","180"
"VD1","81.9902","86.6598","TopLayer","0"
"A12.R48","48.9962","41.5423","TopLayer","0"
"ZQ1","12.9601","91.9473","TopLayer","180"
"XS2","32.1825","66.2480","TopLayer","180"
"XS1","32.1825","70.6480","TopLayer","180"
"X10","16.7517","73.0832","TopLayer","180"
"X9","3.5002","85.4170","TopLayer","270"
"X8","93.9750","69.8250","TopLayer","90"
"X7","92.3328","88.9539","TopLayer","90"
"X3","5.6900","24.8067","TopLayer","270"
"X2","5.6900","12.1000","TopLayer","270"
"SB1","42.9345","86.0977","TopLayer","180"
"A14.R45","17.5491","25.5067","TopLayer","90"
"A14.R43","34.0609","26.4326","TopLayer","0"
"A14.R44","34.0609","25.1827","TopLayer","0"
"R42","12.3885","70.7533","TopLayer","180"
"R41","14.3410","68.9275","TopLayer","90"
"R40","15.9410","68.9275","TopLayer","90"
"R39","17.5410","68.9275","TopLayer","90"
"R38","19.1410","68.9275","TopLayer","90"
"R37","28.6017","97.6984","TopLayer","0"
"R36","18.5778","97.6984","TopLayer","180"
"R35","13.8699","80.0755","TopLayer","270"
"R34","9.4643","87.4000","TopLayer","180"
"R31","80.9150","94.7900","TopLayer","180"
"R30","82.2375","2.2493","TopLayer","180"
"R27","73.7086","55.2662","TopLayer","0"
"R25","74.4150","69.8500","TopLayer","270"
"R26","75.6850","53.8543","TopLayer","90"
"R23","21.2580","50.8870","TopLayer","90"
"R22","23.6580","50.8870","TopLayer","270"
"R21","22.4580","50.8870","TopLayer","270"
"R20","17.6580","50.8870","TopLayer","270"
"R19","18.8580","50.8870","TopLayer","270"
"R18","20.0580","50.8870","TopLayer","270"
"R17","15.5311","40.0951","TopLayer","0"
"R16","15.5311","38.8958","TopLayer","0"
"R15","52.9384","51.0502","TopLayer","180"
"R14","26.7500","46.0503","TopLayer","0"
"R13","41.4610","63.4250","TopLayer","0"
"R12","30.0750","60.1396","TopLayer","270"
"R11","35.4500","59.7400","TopLayer","270"
"R10","38.7137","70.8639","TopLayer","90"
"R9","40.8345","88.9477","TopLayer","270"
"R5","26.7502","66.1881","TopLayer","0"
"R4","26.6999","70.6480","TopLayer","0"
"R2","34.1730","63.7780","TopLayer","180"
"R1","34.1730","73.3000","TopLayer","180"
"L10","11.5227","82.0938","TopLayer","90"
"L9","9.4799","88.7540","TopLayer","0"
"L8","2.1527","78.8251","TopLayer","270"
"L7","93.6061","11.2595","TopLayer","90"
"L6","74.2500","13.8500","TopLayer","180"
"L5","15.4485","55.3260","TopLayer","180"
